DATE,GANGSP
1997-01-01,351183.9
1998-01-01,377705.9
1999-01-01,404465.2
2000-01-01,417713.5
2001-01-01,422731.6
2002-01-01,427329.7
2003-01-01,439074.6
2004-01-01,461245.4
2005-01-01,480838.3
2006-01-01,487524.9
2007-01-01,492238.7
2008-01-01,481860.3
2009-01-01,464016.8
2010-01-01,471588.2
2011-01-01,481215.4
2012-01-01,489027.3
2013-01-01,499900.2
2014-01-01,517511.9
2015-01-01,540108.5
2016-01-01,561718.3
2017-01-01,583543.3
2018-01-01,600934.7
2019-01-01,620792.4
2020-01-01,602321.8
2021-01-01,639236.0
2022-01-01,655827.3
2023-01-01,661114.6
