DATE,TXNGSP
1997-01-01,860046.9
1998-01-01,920059.6
1999-01-01,957247.2
2000-01-01,989904.9
2001-01-01,1020517.0
2002-01-01,1042584.4
2003-01-01,1052132.3
2004-01-01,1111189.1
2005-01-01,1143413.1
2006-01-01,1225147.3
2007-01-01,1288828.7
2008-01-01,1287191.5
2009-01-01,1285560.2
2010-01-01,1323059.1
2011-01-01,1370174.9
2012-01-01,1438354.4
2013-01-01,1511806.5
2014-01-01,1559636.1
2015-01-01,1634127.1
2016-01-01,1633863.3
2017-01-01,1667313.0
2018-01-01,1746543.3
2019-01-01,1802912.8
2020-01-01,1772185.6
2021-01-01,1873473.4
2022-01-01,1924007.5
2023-01-01,2032932.9
