,State,mse,r2
0,Alabama,45303552.94792286,0.3595388591684213
0,Arkansas,7402766.045751205,0.8678073553281673
0,Arizona,594854239.9217774,0.007070982378699742
0,California,592645481.3424072,0.7598896943852322
0,Colorado,632970740.7820956,0.57039569990424
0,Delaware,277074679.4049067,-0.7540326397464492
0,Florida,282006307.31949925,0.4952588732082487
0,Georgia,191288763.91950977,0.41857827380407586
0,Iowa,12054081.371285211,0.8514827706085585
0,Idaho,496136438.4534442,0.5595940574928859
0,Illinois,60900084.56468989,0.4682624266237515
0,Indiana,39488218.01642002,0.7525742346970357
0,Kansas,20369221.02871923,0.7514537406469464
0,Kentucky,13795691.61349131,0.8615121718998353
0,Louisiana,26179239.374121297,-0.1894240503958018
0,Massachusetts,108255926.06248063,0.8836383007635297
0,Maine,407371105.71614593,-0.30400858757849636
0,Michigan,47127441.29625903,0.7896372296336815
0,Minnesota,109541146.14743623,0.7383637956919935
0,Missouri,26232486.278257266,0.8083501878217874
0,Mississippi,26192573.601715267,-0.03566726877950144
0,Montana,237838117.6164877,0.3361943622992103
0,North Carolina,89521941.87491484,0.6532460150104509
0,Nebraska,17213874.786062613,0.9011866229743981
0,New Hampshire,305400727.36259997,0.3663896250153609
0,New Mexico,302931016.0852055,-2.125211254635619
0,New York,29878349.131283764,0.9211130865371557
0,Ohio,35917370.291923255,0.7018955340102154
0,Oklahoma,25886436.333973847,0.401503766277007
0,Oregon,115126194.9956856,0.9093302642855984
0,Pennsylvania,159823599.47142464,-0.5048579835862474
0,South Carolina,70702954.1596747,0.5959715480018143
0,South Dakota,6732049.560359348,0.9571446537632455
0,Tennessee,48273062.430749334,0.8493411619315071
0,Texas,81849613.28019953,0.7008913890744334
0,Utah,127805944.63629214,0.9019364016416872
0,Virginia,657209287.9882243,-2.656883129363384
0,Vermont,271129780.80962306,-0.7383861507341207
0,Washington,338395172.01694494,0.8320174217721047
0,Wisconsin,156350003.6120267,0.3580727238626903
0,West Virginia,16938308.44124434,-0.25185528965264403
0,Wyoming,60549209.8481934,0.1324727191073024
