State,mse,r2
0,Alabama,108908806.89224125,-0.5396553729238802
0,Arkansas,11065671.236257251,0.8023981391888719
0,Arizona,1803524248.6581192,-2.010437583351149
0,California,10110003529.145864,-3.096067739605476
0,Colorado,459595755.028791,0.6880672360587081
0,Connecticut,346036058.32372034,-5.85406144354562
0,Delaware,273514914.7095883,-0.7314974031134367
0,Florida,943423328.4577333,-0.688559941703315
0,Georgia,235261055.42757887,0.28492460220541505
0,Iowa,8961591.390078263,0.8895850556174971
0,Idaho,897341311.8490769,0.20345611496030713
0,Illinois,228830380.76090726,-0.9979892023190562
0,Indiana,38421440.179261975,0.7592584644755815
0,Kansas,21172189.962180365,0.7416558733398417
0,Kentucky,17475483.35669289,0.8245726417440189
0,Louisiana,39294731.07623184,-0.7853115412553584
0,Massachusetts,130081974.30187573,0.8601780048413704
0,Maryland,714461521.5632155,-2.186501889106478
0,Maine,123870324.03668614,0.6034869336007311
0,Michigan,274746634.9279811,-0.22638661642896118
0,Minnesota,318248317.0731233,0.2398720970624818
0,Missouri,31909057.663900945,0.766878181381569
0,Mississippi,22525430.042637907,0.10933339483620663
0,Montana,375570766.0158687,-0.048217141707040945
0,North Carolina,63949605.3692605,0.7522978162014848
0,North Dakota,396147389.41453654,-36.337151529994586
0,Nebraska,33911937.16740252,0.8053341810233103
0,New Hampshire,947200484.5248828,-0.965142844839666
0,New Jersey,1095416804.6320183,-2.4663638689872736
0,New Mexico,217215144.90600273,-1.2409168407721185
0,Nevada,264714961.2036553,0.7878426282455429
0,New York,430129909.499661,-0.13565916240509757
0,Ohio,64301200.34440432,0.4663174159083351
0,Oklahoma,32423418.6037374,0.25036827516914784
0,Oregon,164138171.70597446,0.870729987647177
0,Pennsylvania,226212702.94385275,-1.1299607388366035
0,Rhode Island,610465607.0884864,-0.1038546742338542
0,South Carolina,70985578.56073019,0.5943565051706833
0,South Dakota,10000424.308056062,0.9363386079686968
0,Tennessee,38643382.8354816,0.8793951147105786
0,Texas,11266972.65588313,0.95882633520942
0,Utah,465789129.77769554,0.6426069360687827
0,Virginia,312866673.6024813,-0.7408714109004717
0,Vermont,187227760.44107342,-0.20043672374103072
0,Washington,476100006.37137866,0.7636594337682312
0,Wisconsin,191921651.00067672,0.21202596858038658
0,West Virginia,15362079.469498502,-0.13536133260678818
0,Wyoming,149809304.52225956,-1.1464137836061234
